checkpoint,epoch,train_loss,val_loss,val_acc,rsa_score
checkpoint_epoch_045,45,2.099163055419922,4.198788166046143,51.818,0.4521313592834461
checkpoint_epoch_046,46,2.0753562450408936,4.066888809204102,53.284,0.4345084038241464
checkpoint_epoch_047,47,2.0550999641418457,4.049083709716797,53.624,0.4431178314585159
checkpoint_epoch_048,48,2.035728931427002,4.037829399108887,53.778,0.41105986570583153
checkpoint_epoch_049,49,2.0126168727874756,4.002585411071777,53.862,0.4373482502700872
checkpoint_epoch_050,50,1.993431806564331,3.9955081939697266,54.112,0.4067160812896546
checkpoint_epoch_051,51,1.9721670150756836,3.9634575843811035,54.732,0.3912581453587147
checkpoint_epoch_052,52,1.9490249156951904,3.9289650917053223,54.812,0.37836861010721035
checkpoint_epoch_053,53,1.9260774850845337,3.9639170169830322,54.352,0.40967944366945186
checkpoint_epoch_054,54,1.9061427116394043,4.0348663330078125,53.888,0.46424137212398636
checkpoint_epoch_055,55,1.8790594339370728,3.8267452716827393,55.96,0.392324731742672
checkpoint_epoch_056,56,1.854398488998413,3.8393375873565674,55.73,0.39399246021884793
checkpoint_epoch_057,57,1.8322532176971436,3.8845643997192383,55.418,0.4350609104200377
checkpoint_epoch_058,58,1.8054683208465576,3.80051326751709,56.158,0.40309810870709833
checkpoint_epoch_059,59,1.7815208435058594,3.7909998893737793,56.46,0.43774496776454025
checkpoint_epoch_060,60,1.7544572353363037,3.7295966148376465,56.774,0.40674365561781123
checkpoint_epoch_061,61,1.7321527004241943,3.7615528106689453,56.778,0.4078956237601482
checkpoint_epoch_062,62,1.7040958404541016,3.7594103813171387,56.846,0.40498845515219467
checkpoint_epoch_063,63,1.6769460439682007,3.700503349304199,57.54,0.38072425034740903
checkpoint_epoch_064,64,1.6468474864959717,3.740394115447998,57.116,0.4206670609567062
checkpoint_epoch_065,65,1.6197643280029297,3.732696533203125,56.836,0.4185338547450947
checkpoint_epoch_066,66,1.5904762744903564,3.707669734954834,57.26,0.38973709257655115
checkpoint_epoch_067,67,1.55911123752594,3.6668100357055664,57.822,0.41328449862405114
checkpoint_epoch_068,68,1.5318915843963623,3.651921033859253,57.74,0.41248074625462794
checkpoint_epoch_069,69,1.5011159181594849,3.6200485229492188,58.568,0.4269306306322426
checkpoint_epoch_070,70,1.4672660827636719,3.624690055847168,58.262,0.37026596317404165
checkpoint_epoch_071,71,1.436177372932434,3.6129398345947266,58.63,0.3497489239532303
